filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-6053141_OQMD-EnID-1756721.poscar,-2.5006,P1
ID-4962570_OQMD-EnID-711558.poscar,-2.0123,P21/m
ID-5454815_OQMD-EnID-114922.poscar,-2.3139,C2/m
ID-4861749_OQMD-EnID-2407.poscar,-2.5383,P-1
ID-5457366_OQMD-EnID-62712.poscar,-2.5527,P-1
ID-4061871_OQMD-EnID-5578.poscar,-2.26,Fm-3m
ID-4471056_OQMD-EnID-306048.poscar,-1.3444,Pm-3m
ID-4501677_OQMD-EnID-327132.poscar,-2.2613,R-3m
ID-4513677_OQMD-EnID-337590.poscar,-1.1114,P4/mmm
ID-5493011_OQMD-EnID-1105233.poscar,-2.2628,Fm-3m
ID-5571969_OQMD-EnID-1223679.poscar,-2.017,F-43m
ID-5575968_OQMD-EnID-1230651.poscar,-1.8447,P-6m2
ID-5762737_OQMD-EnID-1243413.poscar,-1.8934,P63/mmc
ID-5762738_OQMD-EnID-1243414.poscar,-2.1561,P63/mmc
ID-5811839_OQMD-EnID-1440214.poscar,-1.8452,P4/nmm
ID-5814690_OQMD-EnID-1440005.poscar,-2.158,Pnma
ID-5816697_OQMD-EnID-1443149.poscar,-2.0883,C2/m
ID-6044183_OQMD-EnID-1745281.poscar,-1.7762,Cmca
ID-5594907_OQMD-EnID-1236669.poscar,-0.6273,Fd-3m
ID-5777356_OQMD-EnID-1416614.poscar,-0.1946,Fm-3m
ID-5949647_OQMD-EnID-1590706.poscar,0.9295,Fd-3m
ID-4115868_OQMD-EnID-300694.poscar,0.2434,I4/mmm
ID-4135296_OQMD-EnID-311236.poscar,0.5719,Fm-3m
ID-4153863_OQMD-EnID-321797.poscar,0.4606,P63/mmc
ID-4796295_OQMD-EnID-346283.poscar,0.4114,Pm-3m
ID-6005162_OQMD-EnID-1603180.poscar,1.12,P6/mmm
ID-4788579_OQMD-EnID-21195.poscar,0.1691,P42/mnm
ID-4900518_OQMD-EnID-694461.poscar,-1.8906,P1
ID-4900533_OQMD-EnID-694462.poscar,-1.8809,P1
ID-4958781_OQMD-EnID-711581.poscar,-1.987,P1
ID-5122125_OQMD-EnID-825068.poscar,-1.8867,P1
ID-5122179_OQMD-EnID-825070.poscar,-1.8756,P1
ID-4788699_OQMD-EnID-11570.poscar,-2.3715,Fmmm
ID-4788711_OQMD-EnID-3576.poscar,-2.3916,C2/m
ID-4912182_OQMD-EnID-644822.poscar,-2.3949,Pc
ID-4958655_OQMD-EnID-711572.poscar,-2.3931,C2/m
ID-4968249_OQMD-EnID-711571.poscar,-2.3792,C2/m
ID-4974564_OQMD-EnID-711582.poscar,-2.3844,C2/m
ID-4075755_OQMD-EnID-4730.poscar,-2.5013,P42/mnm
ID-4075758_OQMD-EnID-15757.poscar,-2.5026,P2/m
ID-4094637_OQMD-EnID-1655.poscar,-2.4752,C2/m
ID-4095042_OQMD-EnID-4158.poscar,-2.4538,Pnma
ID-4095351_OQMD-EnID-6413.poscar,-2.5034,P21/c
ID-4106811_OQMD-EnID-1941.poscar,-2.0964,P-1
ID-4107768_OQMD-EnID-1940.poscar,-2.4524,P-1
ID-4802346_OQMD-EnID-646685.poscar,-2.4561,I4/m
ID-4804152_OQMD-EnID-647636.poscar,-2.4125,P42/ncm
ID-4813068_OQMD-EnID-65113.poscar,-2.4751,C2/m
ID-4855728_OQMD-EnID-6442.poscar,-2.4998,F222
ID-4957368_OQMD-EnID-711570.poscar,-2.2514,R-3m
ID-4958055_OQMD-EnID-711569.poscar,-2.2754,Fd-3m
ID-4958160_OQMD-EnID-711575.poscar,-2.354,I41/amd
ID-5453771_OQMD-EnID-646684.poscar,-2.4559,P4/ncc
ID-5594908_OQMD-EnID-1236670.poscar,-2.3607,Fd-3m
ID-5778465_OQMD-EnID-1416613.poscar,-2.1408,Fm-3m
ID-5811519_OQMD-EnID-1440132.poscar,-2.2588,P-3m1
ID-5812088_OQMD-EnID-1443451.poscar,-2.3036,C2/m
ID-5814623_OQMD-EnID-1443573.poscar,-2.3192,Cmcm
ID-5816835_OQMD-EnID-1439768.poscar,-2.2583,Pa-3
ID-5817101_OQMD-EnID-1441189.poscar,-2.4755,Pbcn
ID-5817178_OQMD-EnID-1441495.poscar,-2.4617,Cmcm
ID-5833842_OQMD-EnID-1437730.poscar,-2.4412,P3
ID-5946951_OQMD-EnID-1589737.poscar,0.1351,Fd-3m
ID-6051982_OQMD-EnID-1756098.poscar,-2.4169,C2/m
ID-4812261_OQMD-EnID-428215.poscar,-1.2984,R-3c
ID-4115922_OQMD-EnID-300713.poscar,-0.5995,I4/mmm
ID-4135377_OQMD-EnID-311255.poscar,-0.5168,Fm-3m
ID-4153812_OQMD-EnID-321778.poscar,-0.8622,P63/mmc
ID-4857585_OQMD-EnID-690797.poscar,-1.6328,C2/m
ID-4906116_OQMD-EnID-694999.poscar,-1.6229,P1
ID-4906125_OQMD-EnID-695000.poscar,-1.6413,C2
ID-4957011_OQMD-EnID-711567.poscar,-0.5873,Pm-3m
ID-4957209_OQMD-EnID-711561.poscar,-1.0596,P4mm
ID-4957488_OQMD-EnID-711566.poscar,-1.5901,R-3
ID-4957575_OQMD-EnID-711564.poscar,-1.6224,C2/m
ID-4957887_OQMD-EnID-711562.poscar,-1.6159,C2
ID-4958550_OQMD-EnID-711568.poscar,-1.6066,Pnma
ID-4958577_OQMD-EnID-711565.poscar,-1.6127,C2/c
ID-4958658_OQMD-EnID-711563.poscar,-1.6461,Cc
ID-5122020_OQMD-EnID-825002.poscar,-1.6191,C2
ID-5122287_OQMD-EnID-825024.poscar,-1.6308,P1
ID-5122875_OQMD-EnID-825025.poscar,-1.6536,P1
ID-4910835_OQMD-EnID-68696.poscar,-0.1625,I4/mmm
ID-4089039_OQMD-EnID-1934.poscar,-2.6282,R-3c
ID-4299783_OQMD-EnID-353543.poscar,-1.888,Pm-3m
ID-4813023_OQMD-EnID-2426.poscar,-2.629,C2/c
ID-4814538_OQMD-EnID-671358.poscar,-2.6286,C2/c
ID-4838796_OQMD-EnID-678210.poscar,-2.6305,R-3
ID-5024736_OQMD-EnID-23682.poscar,-2.5958,Ia-3
ID-5629061_OQMD-EnID-1277489.poscar,-2.3878,Ia-3d
ID-5812783_OQMD-EnID-1440426.poscar,-2.494,P-3m1
ID-5816138_OQMD-EnID-1440535.poscar,-2.6017,C2/m
ID-5816683_OQMD-EnID-1441681.poscar,-2.4426,Cmcm
ID-5816694_OQMD-EnID-1442526.poscar,-2.1593,Pn-3m
ID-5816714_OQMD-EnID-1443963.poscar,-2.566,P1
ID-5912503_OQMD-EnID-1440987.poscar,-2.5071,Fdd2
ID-6009264_OQMD-EnID-1710411.poscar,-2.2257,P4mm
ID-6018149_OQMD-EnID-1719615.poscar,-2.2303,Amm2
ID-6058195_OQMD-EnID-1758592.poscar,-2.5512,Pnma
ID-4092354_OQMD-EnID-20699.poscar,-0.9766,C2/m
ID-4815309_OQMD-EnID-68695.poscar,-0.9742,C2/m
ID-4958019_OQMD-EnID-711560.poscar,-0.9515,Pmn21
ID-4959417_OQMD-EnID-711559.poscar,-0.8839,Pnma
ID-5726342_OQMD-EnID-1338404.poscar,-1.1145,Cm
ID-5735910_OQMD-EnID-1343171.poscar,-0.8967,P2/c
ID-5833597_OQMD-EnID-1437752.poscar,-2.3259,Pm-3m
ID-4500675_OQMD-EnID-3224.poscar,-2.2599,Pmmn
ID-4500984_OQMD-EnID-3279.poscar,-2.258,Pmn21
ID-4504221_OQMD-EnID-11266.poscar,-2.2322,P21/m
ID-4816983_OQMD-EnID-47835.poscar,-2.1037,Pmmn
ID-4864821_OQMD-EnID-19990.poscar,-2.2062,C2/c
ID-4871919_OQMD-EnID-14559.poscar,-2.247,Pnma
ID-4900410_OQMD-EnID-694420.poscar,-2.1491,Cm
ID-4900848_OQMD-EnID-694419.poscar,-2.1837,P1
ID-4958124_OQMD-EnID-711574.poscar,-1.1099,P4/mmm
ID-4958172_OQMD-EnID-711576.poscar,-2.2452,Cmcm
ID-4958190_OQMD-EnID-711577.poscar,-2.2633,Pmmn
ID-4958235_OQMD-EnID-711580.poscar,-2.2634,Pmn21
ID-4958256_OQMD-EnID-711573.poscar,-2.1666,P1
ID-4958856_OQMD-EnID-711579.poscar,-2.2524,Pnma
ID-4974495_OQMD-EnID-711578.poscar,-1.7836,P1
ID-5731401_OQMD-EnID-1343287.poscar,-2.1946,Fdd2
ID-5814264_OQMD-EnID-1444126.poscar,-1.8135,C2
ID-5814356_OQMD-EnID-1443331.poscar,-2.2453,C2/m
ID-4079298_OQMD-EnID-1654.poscar,-2.5769,P1
ID-4781574_OQMD-EnID-6191.poscar,-2.5705,C2/c
ID-4874232_OQMD-EnID-692227.poscar,-2.2939,P1
ID-4888797_OQMD-EnID-358872.poscar,-2.0314,P4/mmm
ID-5457884_OQMD-EnID-2144.poscar,-2.3317,C2/c
ID-5833943_OQMD-EnID-1437726.poscar,-2.279,P3
ID-4839957_OQMD-EnID-31127.poscar,-2.5462,P-1
ID-6041476_OQMD-EnID-1741760.poscar,-2.5,C2/m
ID-6053141_OQMD-EnID-1756721.poscar,-2.5006,P1
ID-4962570_OQMD-EnID-711558.poscar,-2.0123,P21/m
ID-5454815_OQMD-EnID-114922.poscar,-2.3139,C2/m
ID-4861749_OQMD-EnID-2407.poscar,-2.5383,P-1
ID-5457366_OQMD-EnID-62712.poscar,-2.5527,P-1
ID-4061871_OQMD-EnID-5578.poscar,-2.26,Fm-3m
ID-4471056_OQMD-EnID-306048.poscar,-1.3444,Pm-3m
ID-4501677_OQMD-EnID-327132.poscar,-2.2613,R-3m
ID-4513677_OQMD-EnID-337590.poscar,-1.1114,P4/mmm
ID-5493011_OQMD-EnID-1105233.poscar,-2.2628,Fm-3m
ID-5571969_OQMD-EnID-1223679.poscar,-2.017,F-43m
ID-5575968_OQMD-EnID-1230651.poscar,-1.8447,P-6m2
ID-5762737_OQMD-EnID-1243413.poscar,-1.8934,P63/mmc
ID-5762738_OQMD-EnID-1243414.poscar,-2.1561,P63/mmc
ID-5811839_OQMD-EnID-1440214.poscar,-1.8452,P4/nmm
ID-5814690_OQMD-EnID-1440005.poscar,-2.158,Pnma
ID-5816697_OQMD-EnID-1443149.poscar,-2.0883,C2/m
ID-6044183_OQMD-EnID-1745281.poscar,-1.7762,Cmca
ID-5594907_OQMD-EnID-1236669.poscar,-0.6273,Fd-3m
ID-5777356_OQMD-EnID-1416614.poscar,-0.1946,Fm-3m
ID-5949647_OQMD-EnID-1590706.poscar,0.9295,Fd-3m
ID-4115868_OQMD-EnID-300694.poscar,0.2434,I4/mmm
ID-4135296_OQMD-EnID-311236.poscar,0.5719,Fm-3m
ID-4153863_OQMD-EnID-321797.poscar,0.4606,P63/mmc
ID-4796295_OQMD-EnID-346283.poscar,0.4114,Pm-3m
ID-6005162_OQMD-EnID-1603180.poscar,1.12,P6/mmm
ID-4788579_OQMD-EnID-21195.poscar,0.1691,P42/mnm
ID-4900518_OQMD-EnID-694461.poscar,-1.8906,P1
ID-4900533_OQMD-EnID-694462.poscar,-1.8809,P1
ID-4958781_OQMD-EnID-711581.poscar,-1.987,P1
ID-5122125_OQMD-EnID-825068.poscar,-1.8867,P1
ID-5122179_OQMD-EnID-825070.poscar,-1.8756,P1
ID-4788699_OQMD-EnID-11570.poscar,-2.3715,Fmmm
ID-4788711_OQMD-EnID-3576.poscar,-2.3916,C2/m
ID-4912182_OQMD-EnID-644822.poscar,-2.3949,Pc
ID-4958655_OQMD-EnID-711572.poscar,-2.3931,C2/m
ID-4968249_OQMD-EnID-711571.poscar,-2.3792,C2/m
ID-4974564_OQMD-EnID-711582.poscar,-2.3844,C2/m
ID-4075755_OQMD-EnID-4730.poscar,-2.5013,P42/mnm
ID-4075758_OQMD-EnID-15757.poscar,-2.5026,P2/m
ID-4094637_OQMD-EnID-1655.poscar,-2.4752,C2/m
ID-4095042_OQMD-EnID-4158.poscar,-2.4538,Pnma
ID-4095351_OQMD-EnID-6413.poscar,-2.5034,P21/c
ID-4106811_OQMD-EnID-1941.poscar,-2.0964,P-1
ID-4107768_OQMD-EnID-1940.poscar,-2.4524,P-1
ID-4802346_OQMD-EnID-646685.poscar,-2.4561,I4/m
ID-4804152_OQMD-EnID-647636.poscar,-2.4125,P42/ncm
ID-4813068_OQMD-EnID-65113.poscar,-2.4751,C2/m
ID-4855728_OQMD-EnID-6442.poscar,-2.4998,F222
ID-4957368_OQMD-EnID-711570.poscar,-2.2514,R-3m
ID-4958055_OQMD-EnID-711569.poscar,-2.2754,Fd-3m
ID-4958160_OQMD-EnID-711575.poscar,-2.354,I41/amd
ID-5453771_OQMD-EnID-646684.poscar,-2.4559,P4/ncc
ID-5594908_OQMD-EnID-1236670.poscar,-2.3607,Fd-3m
ID-5778465_OQMD-EnID-1416613.poscar,-2.1408,Fm-3m
ID-5811519_OQMD-EnID-1440132.poscar,-2.2588,P-3m1
ID-5812088_OQMD-EnID-1443451.poscar,-2.3036,C2/m
ID-5814623_OQMD-EnID-1443573.poscar,-2.3192,Cmcm
ID-5816835_OQMD-EnID-1439768.poscar,-2.2583,Pa-3
ID-5817101_OQMD-EnID-1441189.poscar,-2.4755,Pbcn
ID-5817178_OQMD-EnID-1441495.poscar,-2.4617,Cmcm
ID-5833842_OQMD-EnID-1437730.poscar,-2.4412,P3
ID-5946951_OQMD-EnID-1589737.poscar,0.1351,Fd-3m
ID-6051982_OQMD-EnID-1756098.poscar,-2.4169,C2/m
ID-4812261_OQMD-EnID-428215.poscar,-1.2984,R-3c
ID-4115922_OQMD-EnID-300713.poscar,-0.5995,I4/mmm
ID-4135377_OQMD-EnID-311255.poscar,-0.5168,Fm-3m
ID-4153812_OQMD-EnID-321778.poscar,-0.8622,P63/mmc
ID-4857585_OQMD-EnID-690797.poscar,-1.6328,C2/m
ID-4906116_OQMD-EnID-694999.poscar,-1.6229,P1
ID-4906125_OQMD-EnID-695000.poscar,-1.6413,C2
ID-4957011_OQMD-EnID-711567.poscar,-0.5873,Pm-3m
ID-4957209_OQMD-EnID-711561.poscar,-1.0596,P4mm
ID-4957488_OQMD-EnID-711566.poscar,-1.5901,R-3
ID-4957575_OQMD-EnID-711564.poscar,-1.6224,C2/m
ID-4957887_OQMD-EnID-711562.poscar,-1.6159,C2
ID-4958550_OQMD-EnID-711568.poscar,-1.6066,Pnma
ID-4958577_OQMD-EnID-711565.poscar,-1.6127,C2/c
ID-4958658_OQMD-EnID-711563.poscar,-1.6461,Cc
ID-5122020_OQMD-EnID-825002.poscar,-1.6191,C2
ID-5122287_OQMD-EnID-825024.poscar,-1.6308,P1
ID-5122875_OQMD-EnID-825025.poscar,-1.6536,P1
ID-4910835_OQMD-EnID-68696.poscar,-0.1625,I4/mmm
ID-4089039_OQMD-EnID-1934.poscar,-2.6282,R-3c
ID-4299783_OQMD-EnID-353543.poscar,-1.888,Pm-3m
ID-4813023_OQMD-EnID-2426.poscar,-2.629,C2/c
ID-4814538_OQMD-EnID-671358.poscar,-2.6286,C2/c
ID-4838796_OQMD-EnID-678210.poscar,-2.6305,R-3
ID-5024736_OQMD-EnID-23682.poscar,-2.5958,Ia-3
ID-5629061_OQMD-EnID-1277489.poscar,-2.3878,Ia-3d
ID-5812783_OQMD-EnID-1440426.poscar,-2.494,P-3m1
ID-5816138_OQMD-EnID-1440535.poscar,-2.6017,C2/m
ID-5816683_OQMD-EnID-1441681.poscar,-2.4426,Cmcm
ID-5816694_OQMD-EnID-1442526.poscar,-2.1593,Pn-3m
ID-5816714_OQMD-EnID-1443963.poscar,-2.566,P1
ID-5912503_OQMD-EnID-1440987.poscar,-2.5071,Fdd2
ID-6009264_OQMD-EnID-1710411.poscar,-2.2257,P4mm
ID-6018149_OQMD-EnID-1719615.poscar,-2.2303,Amm2
ID-6058195_OQMD-EnID-1758592.poscar,-2.5512,Pnma
ID-4092354_OQMD-EnID-20699.poscar,-0.9766,C2/m
ID-4815309_OQMD-EnID-68695.poscar,-0.9742,C2/m
ID-4958019_OQMD-EnID-711560.poscar,-0.9515,Pmn21
ID-4959417_OQMD-EnID-711559.poscar,-0.8839,Pnma
ID-5726342_OQMD-EnID-1338404.poscar,-1.1145,Cm
ID-5735910_OQMD-EnID-1343171.poscar,-0.8967,P2/c
ID-5833597_OQMD-EnID-1437752.poscar,-2.3259,Pm-3m
ID-4500675_OQMD-EnID-3224.poscar,-2.2599,Pmmn
ID-4500984_OQMD-EnID-3279.poscar,-2.258,Pmn21
ID-4504221_OQMD-EnID-11266.poscar,-2.2322,P21/m
ID-4816983_OQMD-EnID-47835.poscar,-2.1037,Pmmn
ID-4864821_OQMD-EnID-19990.poscar,-2.2062,C2/c
ID-4871919_OQMD-EnID-14559.poscar,-2.247,Pnma
ID-4900410_OQMD-EnID-694420.poscar,-2.1491,Cm
ID-4900848_OQMD-EnID-694419.poscar,-2.1837,P1
ID-4958124_OQMD-EnID-711574.poscar,-1.1099,P4/mmm
ID-4958172_OQMD-EnID-711576.poscar,-2.2452,Cmcm
ID-4958190_OQMD-EnID-711577.poscar,-2.2633,Pmmn
ID-4958235_OQMD-EnID-711580.poscar,-2.2634,Pmn21
ID-4958256_OQMD-EnID-711573.poscar,-2.1666,P1
ID-4958856_OQMD-EnID-711579.poscar,-2.2524,Pnma
ID-4974495_OQMD-EnID-711578.poscar,-1.7836,P1
ID-5731401_OQMD-EnID-1343287.poscar,-2.1946,Fdd2
ID-5814264_OQMD-EnID-1444126.poscar,-1.8135,C2
ID-5814356_OQMD-EnID-1443331.poscar,-2.2453,C2/m
ID-4079298_OQMD-EnID-1654.poscar,-2.5769,P1
ID-4781574_OQMD-EnID-6191.poscar,-2.5705,C2/c
ID-4874232_OQMD-EnID-692227.poscar,-2.2939,P1
ID-4888797_OQMD-EnID-358872.poscar,-2.0314,P4/mmm
ID-5457884_OQMD-EnID-2144.poscar,-2.3317,C2/c
ID-5833943_OQMD-EnID-1437726.poscar,-2.279,P3
ID-4839957_OQMD-EnID-31127.poscar,-2.5462,P-1
ID-6041476_OQMD-EnID-1741760.poscar,-2.5,C2/m
ID-6053141_OQMD-EnID-1756721.poscar,-2.5006,P1
ID-4962570_OQMD-EnID-711558.poscar,-2.0123,P21/m
ID-5454815_OQMD-EnID-114922.poscar,-2.3139,C2/m
ID-4861749_OQMD-EnID-2407.poscar,-2.5383,P-1
ID-5457366_OQMD-EnID-62712.poscar,-2.5527,P-1
