filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5731068_OQMD-EnID-1343914.poscar,-1.111,P21/c
ID-5811782_OQMD-EnID-1440805.poscar,-1.025,C2/m
ID-5813308_OQMD-EnID-1439730.poscar,-1.1071,Pnnm
ID-5813672_OQMD-EnID-1442561.poscar,-1.0003,P63mc
ID-5813709_OQMD-EnID-1442804.poscar,-0.5853,Pn-3m
ID-5815670_OQMD-EnID-1440702.poscar,-1.0741,C2/m
ID-5816867_OQMD-EnID-1439772.poscar,-1.0679,Pa-3
ID-5817716_OQMD-EnID-1443424.poscar,-0.9775,Fd-3m
ID-5818309_OQMD-EnID-1444380.poscar,-1.0593,I4/m
ID-5912696_OQMD-EnID-1439860.poscar,-0.982,Pnma
ID-5947105_OQMD-EnID-1589794.poscar,0.3178,Fd-3m
ID-6046023_OQMD-EnID-1753362.poscar,-1.1209,P2/m
ID-6053926_OQMD-EnID-1757055.poscar,-0.929,Cmcm
ID-4116867_OQMD-EnID-301115.poscar,0.1384,I4/mmm
ID-4136757_OQMD-EnID-311657.poscar,0.0797,Fm-3m
ID-4160778_OQMD-EnID-324610.poscar,0.1494,P63/mmc
ID-4174857_OQMD-EnID-349096.poscar,0.273,Pm-3m
ID-4857315_OQMD-EnID-690799.poscar,0.0481,C2/m
ID-4907022_OQMD-EnID-695004.poscar,-0.6135,C2
ID-5122767_OQMD-EnID-825042.poscar,-0.6862,P1
ID-5122926_OQMD-EnID-825043.poscar,-0.7087,P1
ID-4089711_OQMD-EnID-6725.poscar,-1.0275,Cmma
ID-4090266_OQMD-EnID-6711.poscar,-0.8302,P21/m
ID-4336326_OQMD-EnID-350514.poscar,-1.0417,Pm-3m
ID-4790598_OQMD-EnID-31158.poscar,-1.1981,P21/c
ID-4831734_OQMD-EnID-679842.poscar,-1.1262,P4mm
ID-4838637_OQMD-EnID-678205.poscar,-1.2225,R-3
ID-4848870_OQMD-EnID-681462.poscar,-1.18,Pnma
ID-5192259_OQMD-EnID-826631.poscar,-1.1546,R-3c
ID-6006803_OQMD-EnID-1706415.poscar,-1.0373,Pm-3m
ID-6009186_OQMD-EnID-1710001.poscar,-1.1409,Amm2
ID-6009956_OQMD-EnID-1708546.poscar,-1.1374,Cm
ID-6009980_OQMD-EnID-1708570.poscar,-1.1751,Imma
ID-6018804_OQMD-EnID-1716376.poscar,-1.0348,I4/mmm
ID-6020689_OQMD-EnID-1723946.poscar,-0.2374,P4/mmm
ID-6027396_OQMD-EnID-1725766.poscar,-1.1353,P1
ID-6027516_OQMD-EnID-1725893.poscar,-1.1728,C2/m
ID-6032503_OQMD-EnID-1730810.poscar,-1.1372,Ima2
ID-6058169_OQMD-EnID-1758556.poscar,-1.1604,P41
ID-4081059_OQMD-EnID-2559.poscar,-1.2404,P2/m
ID-4082619_OQMD-EnID-4165.poscar,-1.2264,P-1
ID-4508682_OQMD-EnID-16636.poscar,-1.2396,Pbam
ID-4871307_OQMD-EnID-5675.poscar,-1.2238,P42/mbc
ID-4874832_OQMD-EnID-669607.poscar,-1.285,P42/mbc
ID-6046165_OQMD-EnID-1750641.poscar,-1.0974,I4/mmm
ID-4900950_OQMD-EnID-694442.poscar,-0.4382,Cm
ID-4883169_OQMD-EnID-355843.poscar,-1.0225,P4/mmm
ID-4066095_OQMD-EnID-11722.poscar,-1.3212,Cmma
ID-4067400_OQMD-EnID-3110.poscar,-1.3214,P4/nmm
ID-4081224_OQMD-EnID-3082.poscar,-1.3029,Pbcm
ID-4083138_OQMD-EnID-6712.poscar,-1.2686,Pca21
ID-4473390_OQMD-EnID-306259.poscar,-0.8302,Pm-3m
ID-4502235_OQMD-EnID-327343.poscar,-1.1431,R-3m
ID-4514283_OQMD-EnID-337801.poscar,-0.814,P4/mmm
ID-5493224_OQMD-EnID-1105444.poscar,-1.1389,Fm-3m
ID-5571942_OQMD-EnID-1223652.poscar,-1.1316,F-43m
ID-5575941_OQMD-EnID-1230624.poscar,-1.0361,P-6m2
ID-5811498_OQMD-EnID-1442029.poscar,-1.1422,Immm
ID-5812165_OQMD-EnID-1442285.poscar,-1.2638,Pmn21
ID-5812216_OQMD-EnID-1441720.poscar,-1.2728,Cmcm
ID-5812268_OQMD-EnID-1442198.poscar,-1.0994,P63/mmc
ID-5812367_OQMD-EnID-1441856.poscar,-1.1721,P63mc
ID-5812889_OQMD-EnID-1443416.poscar,-1.2834,Abm2
ID-5813116_OQMD-EnID-1444232.poscar,-1.2758,Fmm2
ID-5813400_OQMD-EnID-1443439.poscar,-1.2793,C2
ID-5813669_OQMD-EnID-1442499.poscar,-1.1436,P3121
ID-5814708_OQMD-EnID-1439996.poscar,-1.2817,Pnma
ID-5815282_OQMD-EnID-1443346.poscar,-1.3181,Cmca
ID-5815438_OQMD-EnID-1443266.poscar,-1.1434,P21/c
ID-5815798_OQMD-EnID-1440379.poscar,-1.2689,Cmca
ID-4074840_OQMD-EnID-5612.poscar,-0.5457,Pn-3m
ID-5599543_OQMD-EnID-1240980.poscar,0.0473,Fd-3m
ID-4142841_OQMD-EnID-314068.poscar,0.065,Fm-3m
ID-4154850_OQMD-EnID-322199.poscar,0.0992,P63/mmc
ID-4170534_OQMD-EnID-346685.poscar,0.0607,Pm-3m
ID-4791342_OQMD-EnID-303526.poscar,0.0489,I4/mmm
ID-6005551_OQMD-EnID-1603235.poscar,0.4224,P6/mmm
ID-4902759_OQMD-EnID-694483.poscar,-0.6295,P1
ID-5123448_OQMD-EnID-825098.poscar,-0.524,P1
ID-5123658_OQMD-EnID-825100.poscar,-0.6989,P1
ID-4065915_OQMD-EnID-13988.poscar,-1.0145,Fm-3m
ID-4076433_OQMD-EnID-4264.poscar,-1.1146,P42/mnm
ID-4095018_OQMD-EnID-3885.poscar,-1.1073,Pbcn
ID-5577481_OQMD-EnID-1234110.poscar,-1.1178,P42/mnm
ID-5731068_OQMD-EnID-1343914.poscar,-1.111,P21/c
ID-5811782_OQMD-EnID-1440805.poscar,-1.025,C2/m
ID-5813308_OQMD-EnID-1439730.poscar,-1.1071,Pnnm
ID-5813672_OQMD-EnID-1442561.poscar,-1.0003,P63mc
ID-5813709_OQMD-EnID-1442804.poscar,-0.5853,Pn-3m
ID-5815670_OQMD-EnID-1440702.poscar,-1.0741,C2/m
ID-5816867_OQMD-EnID-1439772.poscar,-1.0679,Pa-3
ID-5817716_OQMD-EnID-1443424.poscar,-0.9775,Fd-3m
ID-5818309_OQMD-EnID-1444380.poscar,-1.0593,I4/m
ID-5912696_OQMD-EnID-1439860.poscar,-0.982,Pnma
ID-5947105_OQMD-EnID-1589794.poscar,0.3178,Fd-3m
ID-6046023_OQMD-EnID-1753362.poscar,-1.1209,P2/m
ID-6053926_OQMD-EnID-1757055.poscar,-0.929,Cmcm
ID-4116867_OQMD-EnID-301115.poscar,0.1384,I4/mmm
ID-4136757_OQMD-EnID-311657.poscar,0.0797,Fm-3m
ID-4160778_OQMD-EnID-324610.poscar,0.1494,P63/mmc
ID-4174857_OQMD-EnID-349096.poscar,0.273,Pm-3m
ID-4857315_OQMD-EnID-690799.poscar,0.0481,C2/m
ID-4907022_OQMD-EnID-695004.poscar,-0.6135,C2
ID-5122767_OQMD-EnID-825042.poscar,-0.6862,P1
ID-5122926_OQMD-EnID-825043.poscar,-0.7087,P1
ID-4089711_OQMD-EnID-6725.poscar,-1.0275,Cmma
ID-4090266_OQMD-EnID-6711.poscar,-0.8302,P21/m
ID-4336326_OQMD-EnID-350514.poscar,-1.0417,Pm-3m
ID-4790598_OQMD-EnID-31158.poscar,-1.1981,P21/c
ID-4831734_OQMD-EnID-679842.poscar,-1.1262,P4mm
ID-4838637_OQMD-EnID-678205.poscar,-1.2225,R-3
ID-4848870_OQMD-EnID-681462.poscar,-1.18,Pnma
ID-5192259_OQMD-EnID-826631.poscar,-1.1546,R-3c
ID-6006803_OQMD-EnID-1706415.poscar,-1.0373,Pm-3m
ID-6009186_OQMD-EnID-1710001.poscar,-1.1409,Amm2
ID-6009956_OQMD-EnID-1708546.poscar,-1.1374,Cm
ID-6009980_OQMD-EnID-1708570.poscar,-1.1751,Imma
ID-6018804_OQMD-EnID-1716376.poscar,-1.0348,I4/mmm
ID-6020689_OQMD-EnID-1723946.poscar,-0.2374,P4/mmm
ID-6027396_OQMD-EnID-1725766.poscar,-1.1353,P1
ID-6027516_OQMD-EnID-1725893.poscar,-1.1728,C2/m
ID-6032503_OQMD-EnID-1730810.poscar,-1.1372,Ima2
ID-6058169_OQMD-EnID-1758556.poscar,-1.1604,P41
ID-4081059_OQMD-EnID-2559.poscar,-1.2404,P2/m
ID-4082619_OQMD-EnID-4165.poscar,-1.2264,P-1
ID-4508682_OQMD-EnID-16636.poscar,-1.2396,Pbam
ID-4871307_OQMD-EnID-5675.poscar,-1.2238,P42/mbc
ID-4874832_OQMD-EnID-669607.poscar,-1.285,P42/mbc
ID-6046165_OQMD-EnID-1750641.poscar,-1.0974,I4/mmm
ID-4900950_OQMD-EnID-694442.poscar,-0.4382,Cm
ID-4883169_OQMD-EnID-355843.poscar,-1.0225,P4/mmm
